"names","aic"
"US1INMR0122",69.2562023435959
"USC00264473",127.725107173435
"CA002200200",128.756819451317
"US1NMLU0057",136.35372851435
"CA002203900",136.784083815298
"US1NMLU0054",137.878422587097
"CA005061567",139.595943808362
"US1NMDA0259",139.78613886237
"USC00506769",140.126738685089
"USC00482737",140.384490420732
"USC00044620",140.558628494256
"CA004010358",141.137547000222
"CA002402354",141.917581282605
"USC00242313",143.595050486552
"USC00485486",143.939334927987
"US1NMVL0027",143.975154855555
"USC00422252",144.460688986403
"CA002204101",145.352070124877
"USC00269137",146.3307043234
"US1NMDA0264",146.511787535693
"US1NMBR0152",146.564102390655
"USC00358343",146.582250318886
"CA003022154",146.938155641254
"US1COPW0026",147.279671188576
"USC00297191",147.674167984396
"US1WYPT0018",148.091439180126
"US1AZAP0002",148.183489768402
"CA004013740",149.030792730357
"US1NMSN0080",149.058683291668
"US1NMSF0044",149.273536612444
"CA003060280",149.762727305822
"USC00450317",149.925622565066
"CA004042884",150.148953608135
"CA004050500",150.73853998974
"USC00044979",150.780247404861
"CA003026484",151.482536676185
"US1WYGS0025",152.471863215928
"US1TXHDS004",152.506954716305
"US1WYWH0009",152.649334191789
"US1CODL0002",153.001101236725
"US1NVCK0026",153.185990556274
"CA003012228",153.532441627478
"US1NMSF0052",153.882836182819
"US1SDBT0010",153.905149073651
"USC00293234",154.090920972914
"US1NMSN0079",154.329343727824
"USC00423182",154.792605489867
"US1WYPT0023",154.835549365763
"USC00489206",154.957166228452
"US1TXEP0063",155.139066885929
